crd1,crd2,crd3,onaji1,onaji2,onaji3,kanyu,crd
0,0,0,27.51380893,9.898657801,6.559939184,0,0
0,0,0,26.24490608,2.537624774,0,0,0
0,0.255972717,0,23.15633033,14.6691354,11.7105207,0,0.255972717
0,0.952966502,11.70665247,8.895039347,0,0,0,12.65961897
0,0,0,4.705942705,7.117725412,8.979407349,0,0
0,0,0,342.7129453,0,24.97394607,0,0
0,0,0,29.17218723,9.719708714,2.935660488,0,0
0,0,0,15.18687785,41.65106754,2.801801839,0,0
0,0,9.241583102,12.35924405,10.32329741,0.484333047,0,9.241583102
0,0.769822681,8.615436581,20.78615473,0,0,0,9.385259262
0,10.83900748,19.59927135,25.31334416,0,3.503901974,0,30.43827883
0,0,3.048929397,1.23601205,14.36052275,0,0,3.048929397
0,0,0,4.510439275,3.630100952,3.251055511,0,0
0,0,0,66.37603006,8.648312431,0.281438531,0,0
