num,x,y,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,onaji1,onaji2,onaji3,onaji4,onaji5,onaji6,onaji7,onaji8,onaji9
21,34.0,6.0,0.0,0.0,0.0,2.1655591367118876,0.0,0.14447276498939063,0.0,2.8837903663878937,1.8837124470491866,90.3156941951296,0.0,17.90903485743967,8.289082879345393,0.0,14.508949113294985,9.466669675598753,12.798574477701298,11.552041506876257
22,97.0,8.0,0.0,0.0,0.0,0.9373882698471065,2.261761211846267,0.2944331222627015,2.558274217031855,2.545900581158477,1.1400493101962343,0.0,6.969284133762863,7.0061476841583215,3.8273076315046834,17.627419878093463,4.393531930629517,5.479412197244958,11.67671666633885,22.264769714136914
23,69.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,6.145448217635425,0.0,1.2405632416574983,0.0,11.812160897618641,0.0,2.621073167702393,0.0,6.520320972590847,16.737762961140163,8.225194741538658,0.0
24,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.457522267016701,2.116109185652771,5.523622310883985,36.38399253044468,0.0,6.875662695863332,7.711780460167315,4.081790683390529,8.19895329089456,2.8060914661784553,2.900602493365044,1.9642859367513983
25,7.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.22895094167208,10.541062152662107,6.588240630988893,11.289931576133318,9.094200517208611,10.802828446484066,14.80524736471507,8.928834200225964
26,93.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9265003968784964,1.2726728080980385,55.93519212823271,9.421806696636867,3.42087351256872,17.059157961875513,6.453187773366642,0.0,7.943943797308311,7.487044316132135,11.461618513768936
27,57.0,15.0,0.0,0.0,0.0,0.0,1.0221436062156881,0.8846580295281843,2.2658034560894915,1.7301968524578168,0.6026247168456738,0.0,0.0,15.294385991489698,5.593873023131273,4.060855015482525,16.477839899387828,7.468889111289325,2.8079942007145915,4.940316319938628
28,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.7127744732997836,9.022324197938335,2.3784066883772192,0.0,89.8612253104592,5.846468369017123,0.0,17.883180838974475,0.0,7.408186345222283,0.0,8.47552521602541,5.2805882871395475
29,12.0,3.0,0.0,0.0,0.5224690482306499,0.0,0.9457076430008534,24.310838634883144,0.0,7.6460674106704705,2.5585648255625477,61.898223800289756,0.0,23.382384830233846,0.0,10.852381874919763,5.944485449652164,0.0,2.6061252487613547,8.477205486824706
30,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3124049310885795,1.3504812505203192,0.0,0.0,27.86527113578909,10.165060499181287,0.0,0.0,0.0,12.925767698412738,9.687783307433717,18.747568208220702
31,26.0,40.0,41.40200551467869,0.0,0.0,0.0,7.0818324275983695,0.0,0.0,0.07810320581264352,0.5748568525485652,0.0,6.980396250447863,3.2132244494736613,18.199152986583286,9.342951389365233,8.968834473544101,17.820185963851728,15.52555381409849,4.638463545431753
32,100.0,9.0,0.0,0.0,0.0,0.0,0.0,8.3735896462993,3.257932696231695,0.0,0.0,0.0,35.06409643232275,0.0,0.0,13.69096691237187,3.291485746625695,10.249256810554519,7.0547670939694465,15.41683971336056
33,99.0,21.0,0.0,2.8808292874141648,0.0,0.0,1.8847840275324494,2.019478817552245,6.098521436310315,0.0,3.240275167421589,22.313945285581617,0.0,0.0,3.3362839304992953,9.932977619223188,0.0,7.34586863870318,10.821556450479278,27.003597775866933
34,76.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2952150486530171,0.7269745608114462,0.8193762778377159,0.0,0.0,0.0,0.0,2.109209099761743,14.306044769583089,12.758418160638179,3.4449205756638106,11.077815122432986
35,71.0,34.0,0.0,0.0,0.0,0.0,2.6246414121667665,0.28140259109456023,1.1920028531841964,3.0925697848027927,4.110353187463299,0.0,13.467177859741827,0.0,11.261168874473164,10.68879618222947,14.053835476685698,5.006049314320024,6.044522082341987,9.343425066953467
36,96.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874414532237042,11.20013705572328,12.211248349618447,4.31197860302252,12.892520538242103,3.3876558639214505
37,57.0,28.0,0.0,0.0,0.0,0.0,8.350066285087907,0.17279674102732584,0.45895450895298207,2.83681177581796,0.6687432906374453,0.0,19.217344981811518,7.698243920923292,4.80662616837907,6.388049110452812,11.263423423329701,3.6273563165886937,7.999434003591988,12.348821818552274
