#num,x,y,spp,dbh01,dbh04,hgt,sprout
229,32.24936889,17.1001311,bp,5.856901906,6.429859701,5.6,224
230,31.99259201,17.25743239,bp,0.76,1.23,2.1,224
231,33.59879754,14.8412447,pt,0.5,1.19,1.8,0
232,34.69531506,13.58466552,lc,10.44056427,0,8.3,0
233,35.17523191,13.03154432,lc,4.13802852,5.411268065,4.5,0
234,33.4958317,12.92672206,lc,0.36,1.05,1.5,0
235,32.68987297,12.68913935,lc,14.38760686,0,7.6,0
236,33.17337185,11.0881365,lc,9.994930426,0,1.6,0
237,33.2381912,10.43317619,lc,13.91014203,0,10.3,0
238,34.75341015,11.28162905,lc,13.05070533,0,8.1,0
239,39.47552325,13.7520436,pt,0.34,0.7,1.8,0
240,39.73586863,10.43258854,lc,5.53859202,0,5.1,0
241,39.17584475,9.477292772,lc,0.8,1.43,1.8,0
242,37.78793508,9.698297042,lc,0.55,1.16,1.6,0
243,35.80496362,9.125,lc,9.358310654,0,6.5,0
244,35.39655668,9.324486169,lc,12.06394469,0,9,0
245,34.02577734,9.71190867,bp,7.448451337,7.703099246,6.6,245
246,34.05093781,9.693092728,bp,0.36,1.03,1.6,245
247,33.89485241,9.407522329,bp,2.08,2.22,3,245
248,34.06856706,9.41808477,bp,0.96,1.03,1.5,245
249,33.86120516,9.31434332,bp,2.93,3.151267873,3.8,245
250,33.7133626,9.495582451,bp,2.34,0,2.4,245
251,33.49599976,9.068935472,bp,2.9,0,1.4,245
252,33.81748807,9.145595847,bp,0.73,1.08,2.5,245
253,33.99186409,8.913800502,bp,4.456338407,4.61549335,4,245
254,32.51296487,8.126014402,pt,0.75,1.31,2,0
255,32.36495678,6.713623757,pt,10.12225438,10.6315502,10.2,0
256,34.14498464,6.625994983,pt,2.801126998,3.405915782,4.1,0
257,33.45079767,6.101552429,pt,9.390141642,9.963099438,10,0
258,34.51042732,5.862593187,pt,6.780000576,7.161972439,8.3,0
259,38.61925746,7.598378223,lc,0.51,1.35,1.8,0
260,30.95887901,1.462226651,lc,1.1,0,2.1,0
261,40.79553508,5.033308552,bp,1.84,1.95,2,265
262,40.67586355,5.066075754,bp,0.97,2.31,2.1,265
263,40.044069,4.950192289,bp,1.26,0,2.5,265
264,40.62028247,5.351199116,bp,7.448451337,7.989578143,8.1,265
265,40.87613085,5.178963314,bp,14.92873366,0,6.6,265
266,41.0457958,5.079917568,bp,5.76140894,6.270704758,4.3,265
267,41.10062307,5.194427313,bp,5.665915974,6.366197724,5.1,265
268,40.67764847,5.571547387,bp,4.901972247,5.06112719,4.9,265
269,40.77785741,5.496685904,bp,5.315775099,5.53859202,5.1,265
270,40.90135226,5.489172571,bp,6.875493542,7.384789359,5.8,265
271,41.11423741,7.387706948,lc,2.24,0,2.8,0
272,40.36356941,7.678294315,lc,2.7,3.9152116,3.5,0
273,40.62845317,7.808323333,lc,0.97,0,2,0
274,48.23504268,2.320698466,lc,1.79,3.087605896,2.9,0
275,49.22132512,2.289775429,pt,1.08,2.037183272,2.8,0
276,49.0126044,2.64949921,pt,1.55,2.673803044,3.2,0
277,48.46773174,4.331347678,lc,16.01098728,0,4.1,0
278,49.01163636,7.869739434,lc,11.4591559,0,10,0
279,42.95207784,10.55518239,pt,1.63,2.641972055,3.2,0
280,44.44817578,11.04175148,pt,2.25,2.46,1.7,0
281,41.37800938,14.42597072,lc,1.41,2.450986124,2.2,0
282,42.94169521,16.26457162,lc,1.53,2.641972055,3.1,0
283,44.87762501,16.83766318,lc,23.36394565,0,15.9,0
284,42.30458188,19.63480854,bp,15.82000134,16.01098728,10.7,284
285,49.99987815,19.93018697,lc,11.04535305,0,7.4,0
286,43.34909492,23.5768792,lc,20.88112853,0,12.2,0
287,48.15673281,26.18105603,lc,25.59211485,0,18.5,0
288,48.29574443,26.80412636,lc,11.14084602,0,9.8,0
289,48.80668621,30.21119747,af,4.901972247,0,3,0
290,42.2911532,29.22845886,bp,2.49,2.76929601,3,302
291,42.31495956,29.27998766,bp,1.24,0.55,3.4,302
292,42.39482312,29.34016916,bp,3.59,3.628732702,5.1,302
293,42.21876894,29.27455042,bp,2.65,0,2.9,302
294,42.21051793,29.30192194,bp,1.8,1.83,3.5,302
295,42.29697677,29.43580215,bp,1.22,1.36,2.1,302
296,42.36764133,29.52436601,bp,2.05,2.291831181,3,302
297,42.47063899,29.60368488,bp,1,1.21,2.7,302
298,42.43085771,29.81729986,bp,2.26,2.450986124,4.3,302
299,42.4990919,29.73027757,bp,8.53070495,8.944507802,7.3,302
300,42.57665163,29.82595715,bp,4.169859509,4.265352475,5.5,302
301,42.53738267,29.97268448,bp,1.31,1.909859317,3.1,302
302,42.20210713,29.67127094,bp,12.92338138,13.01887434,8,302
303,41.08162891,27.39052777,lc,14.45126883,0,7.5,0
304,41.94673304,29.30027793,bp,5.188451145,5.570423008,6.6,302
305,41.89787336,29.36270311,bp,3.21,3.437746771,4.2,302
306,41.88079281,29.41660035,bp,2.25,2.546479089,3.6,302
307,41.79390492,29.38129557,bp,1.56,1.941690306,3.9,302
308,41.81873214,29.33387222,bp,0.84,1.13,1.6,302
309,41.84246817,29.62411282,bp,3.04,3.21492985,5.1,302
310,42.04984549,29.65374661,bp,6.35,7.416620348,5.9,302
311,41.93414513,29.73325126,bp,1.09,1.18,2,302
312,41.95504438,29.61210247,bp,1.84,1.86,3,302
313,41.99452325,29.81740353,bp,1.3,1.909859317,3.1,302
314,42.09512248,29.89974304,bp,0.86,1.05,2.5,302
315,42.03321526,29.84907257,bp,1.23,0,1.5,302
316,42.03321526,29.84907257,bp,4.106197532,4.329014452,5.2,302
317,42.25559181,29.92438257,bp,0.87,0.99,2,302
318,48.78301382,29.94336813,af,0.6,0.69,1.1,0
319,49.02612266,30.06763055,af,0.78,0.9,1.6,0
320,49.09561911,30.43264952,af,3.501408748,3.660563691,3.8,0
321,48.92321011,30.4002019,af,2.08,2.705634033,3.3,0
322,49.05745557,30.55692264,af,2.27,2.864788976,2.8,0
323,48.92387893,30.40616451,af,0.94,1.22,2.1,0
324,48.78072571,30.98205288,af,1.47,0,1,0
325,48.85269319,30.51916738,af,1.35,1.83,1.4,0
326,48.89660336,30.46362145,af,0.3,0,1.3,0
327,48.92321011,30.4002019,af,0.56,0.91,1.7,0
328,49.77351371,30.73276719,af,2.71,1,3.5,0
329,49.64376113,30.72684014,af,1.81,2.419155135,3.3,0
330,49.01626407,31.36586057,af,2.35,2.737465021,3.4,0
331,48.75869591,30.57135937,af,1.93,2.228169203,3.2,0
332,48.68496123,30.87426315,af,2.07,2.864788976,3.6,0
333,48.77530583,30.8213441,af,2.43,2.641972055,3.5,0
334,48.91156024,31.00561848,af,2.14,3.978873577,1.7,0
335,49.09888068,31.56801423,af,1,1.21,1.7,0
336,48.78543138,31.46599607,af,1.28,1.71,2.1,0
337,48.6735661,31.01740722,af,0.37,0,1.3,0
338,48.27423697,30.59705674,af,5.474930042,0,3.4,0
339,49.93570259,30.79022444,af,0.83,0,1.5,0
340,49.82485378,32.28198706,af,1.4,0,1.4,0
341,44.90183282,34.03081317,lc,0.63,1.39,1.4,0
342,43.19927233,33.05532555,lc,20.84929755,0,7.9,0
343,41.87688215,35.68086162,lc,4.042535555,0,4.5,0
344,43.44661813,36.45659964,lc,1.32,2.355493158,2.6,0
345,41.80984092,38.00345443,lc,0.91,1.99,2.4,0
346,48.60225172,41.65987944,bp,3.342253805,3.278591828,3.3,347
347,49.00635548,42.14062387,bp,8.562535938,9.294648677,8.6,347
348,49.32416781,42.15658314,bp,3.787887646,3.9152116,5.4,347
349,49.59543713,42.18282589,bp,5.729577951,6.047887837,6.8,347
350,49.26633127,42.28511054,bp,1.63,1.68,3.4,347
351,49.23761531,42.69421038,bp,1.05,1.13,2.2,347
352,49.81830962,45.47698718,bp,3.21492985,3.596901714,4.7,352
353,46.20804253,45.88396622,lc,5.697746963,7.098310462,6.8,0
